"Country","Document","Year of Submission","Variable","Evidence"
"Costa Rica","BTR",2024,"SystemAction",NA
"Costa Rica","BTR",2024,"SystemResult",NA
"Croatia","BTR",2024,"HazardSystem","[763 • System at risk] Climate change can increase the likelihood of disaster events and exacerbate their intensity. The main expected impacts that could cause high or medium vulnerability in this sector are landslides, flo…"
"Croatia","BTR",2024,"HazardPriority","[765 • Adaptation priorities] Support to planning, construction, reconstruction and upgrading the system for protection against harmful effects of water and related hydrotechnical systems (structural measures) and lowland natural …"
"Croatia","BTR",2024,"HazardAction",NA
"Croatia","BTR",2024,"HazardResult",NA
"Croatia","BTR",2024,"SystemPriority","[772 • Adaptation priorities] Strengthening professional, research and management capacities for the protection of particularly valuable aquatic ecosystems"
"Croatia","BTR",2024,"SystemAction","[853 • Action] NPOO.C6.1.R5.02 call for allocation of grants for implementation of the pilot projects for the development of green infrastructure and/or circular management of space and buildings at the local level …"
"Croatia","BTR",2024,"SystemResult",NA
"Cuba","BTR",2024,"HazardSystem","[6210 • System at risk] Terrestrial and coastal reptiles, due to their high sensitivity to temperature and aridity, and certain coastal species due to the destruction of their habitats caused by rising sea levels"
"Cuba","BTR",2024,"HazardPriority","[6273 • Adaptation priorities] Ensure the availability and efficient use of water as part of the fight against drought, from the application of technologies for savings and satisfaction of the local demands. Raise the hydraulic inf…"
"Cuba","BTR",2024,"HazardAction","[6304 • Action] Identifying and obtaining Varieties with different capacities of tolerance to climatic phenomena, such as the occurrence of droughts, heavy rains or floods, as well as to the salinity and aridity of t…"
"Cuba","BTR",2024,"HazardResult","[6307 • Result] The principles of sustainable agriculture and organic farming: while fertilizer application rates and pesticides are significantly reduced, 175 thousand hectares were benefited in the 2021 and 268 tho…"
"Cuba","BTR",2024,"SystemPriority","[6271 • Adaptation priorities] Plan the urban reorganization processes of the areas within the determined timeframes threatened settlements and infrastructure, in accordance with the conditions country's economic needs. Start with …"
"Cuba","BTR",2024,"SystemAction","[6306 • Action] The most efficient irrigation technologies were implemented on 509,686 hectares, out of a total irrigated area of 627,806 hectares in 2022."
"Cuba","BTR",2024,"SystemResult","[6305 • Result] There has been released into agricultural production about 25 varieties of beans, 10 of corn, 12 of rice, 4 of sorghum, 2 of chickpeas, 62 of different root crops, 6 of sugar cane (4 of them introduce…"
"Czech Republic","BTR",2024,"HazardSystem","[5422 • System at risk] The main impacts of climate change that pose risks to forestry are rising air temperatures, particularly spring and summer temperatures, decreasing summer precipitation and increased evapotranspiratio…"
"Czech Republic","BTR",2024,"HazardPriority",NA
"Czech Republic","BTR",2024,"HazardAction",NA
"Czech Republic","BTR",2024,"HazardResult",NA
"Czech Republic","BTR",2024,"SystemPriority",NA
"Czech Republic","BTR",2024,"SystemAction",NA
"Czech Republic","BTR",2024,"SystemResult",NA
"Côte d'Ivoire","BTR",2024,"HazardSystem","[5967 • System at risk] Extreme weather events will also have devastating effects on human settlements and on economic production sites, particularly in densely populated urban areas such as Abidjan or Bouaké. The houses ma…"
"Côte d'Ivoire","BTR",2024,"HazardPriority","[5995 • Adaptation priorities] The introduction of more drought-resistant crops and crop diversification to reduce the risks associated with climate variations"
"Côte d'Ivoire","BTR",2024,"HazardAction",NA
"Côte d'Ivoire","BTR",2024,"HazardResult",NA
"Côte d'Ivoire","BTR",2024,"SystemPriority","[5995 • Adaptation priorities] The introduction of more drought-resistant crops and crop diversification to reduce the risks associated with climate variations"
"Côte d'Ivoire","BTR",2024,"SystemAction",NA
"Côte d'Ivoire","BTR",2024,"SystemResult",NA
"Ecuador","BTR",2024,"HazardSystem","[6072 • Hazard] Historical trend analysis shows an increase in precipitation in most sections of the road infrastructure with some sites where precipitation reductions occur (some sectors of the provinces of Los Ríos…"
"Ecuador","BTR",2024,"HazardPriority",NA
"Ecuador","BTR",2024,"HazardAction",NA
"Ecuador","BTR",2024,"HazardResult",NA
"Ecuador","BTR",2024,"SystemPriority",NA
"Ecuador","BTR",2024,"SystemAction",NA
"Ecuador","BTR",2024,"SystemResult",NA
"Egypt","BTR",2024,"HazardSystem","[1807 • System at risk] December 2010, January 2011, and October 2015: Storm surges reached 1.2 meters above sea level, causing coastal flooding in the Nile Delta and damage to coastal structures."
"Egypt","BTR",2024,"HazardPriority","[1780 • Adaptation priorities] The National Strategy for Integrated Coastal Zone Management (ICZM) aims to address vulnerabilities in coastal areas by mitigating the impacts of sea-level rise and preserving marine biodiversity"
"Egypt","BTR",2024,"HazardAction","[1839 • Action] Flood management plans"
"Egypt","BTR",2024,"HazardResult",NA
"Egypt","BTR",2024,"SystemPriority","[1776 • Adaptation priorities] The National Climate Change Strategy (NCCS) 2050 is under active implementation, with priority given to enhancing infrastructure resilience and scaling up renewable energy projects, while promoting ge…"
"Egypt","BTR",2024,"SystemAction","[1837 • Action] Groundwater extraction"
"Egypt","BTR",2024,"SystemResult",NA
"Estonia","BTR",2024,"HazardSystem","[1865 • System at risk] Extreme weather conditions, which may endanger human health, include storms and heavy rain (the resulting floods), which may also make vital medical assistance less accessible or even completely inacc…"
"Estonia","BTR",2024,"HazardPriority",NA
"Estonia","BTR",2024,"HazardAction","[1912 • Action] In order to increase the rescue capacity, the Rescue Board has developed the ability to monitor and extinguish forest fires from the air and has acquired and deployed 15 drones (including 7 with a the…"
"Estonia","BTR",2024,"HazardResult",NA
"Estonia","BTR",2024,"SystemPriority",NA
"Estonia","BTR",2024,"SystemAction","[1912 • Action] In order to increase the rescue capacity, the Rescue Board has developed the ability to monitor and extinguish forest fires from the air and has acquired and deployed 15 drones (including 7 with a the…"
"Estonia","BTR",2024,"SystemResult",NA
"Finland","BTR",2024,"HazardSystem","[2110 • System at risk] Drought can cause problems with water sufficiency and decreased groundwater levels can cause problems with water quality."
"Finland","BTR",2024,"HazardPriority",NA
"Finland","BTR",2024,"HazardAction","[2127 • Action] Developing risk profiles and emergency plans for various existing and emerging pests and diseases"
"Finland","BTR",2024,"HazardResult","[2136 • Result] Flood risk maps are also being produced for areas subject to potential fluvial or sea surge floods."
"Finland","BTR",2024,"SystemPriority",NA
"Finland","BTR",2024,"SystemAction","[2123 • Action] In order to stimulate forest growth, information on the use of processed forest reproductive material and new methods of forest reproduction have been developed"
"Finland","BTR",2024,"SystemResult","[2137 • Result] In the agricultural sector farmers have diversified crop rotations by introducing novel crops for cultivation, shifting cultivation of crops northwards and even substantially expanding field areas und…"
"Gabon","BTR",2024,"HazardSystem","[6087 • System at risk] In addition to these floodings, there are also significant saline intrusions, especially in dry season (between June and September), when the Ogooué is less loaded with fresh water."
"Gabon","BTR",2024,"HazardPriority","[6115 • Adaptation priorities] Develop the watersheds of Greater Libreville and the main flood-prone cities of countries, including Port-Gentil, Mouila, Lambaréné, Franceville."
"Gabon","BTR",2024,"HazardAction",NA
"Gabon","BTR",2024,"HazardResult",NA
"Gabon","BTR",2024,"SystemPriority","[6113 • Adaptation priorities] Strengthening the financing framework for adaptation and mitigation policies, based on the search for public-private partnerships, on the sustained mobilization of finance climate, in the form of resu…"
"Gabon","BTR",2024,"SystemAction",NA
"Gabon","BTR",2024,"SystemResult",NA
"Ghana","BTR",2024,"HazardSystem","[1229 • System at risk] Heat-related deaths among the elderly (65+ years) are projected to rise significantly, reaching almost 70 deaths per 100,000 by 2080, compared to an estimated baseline of fewer than 2 deaths per 100,0…"
"Ghana","BTR",2024,"HazardPriority","[1267 • Adaptation priorities] Climate-Smart Agriculture Practices: Implementing improved water management to enhance efficiency; Using drought-resistant crops to withstand climate variability; Integrating nutrient management to bo…"
"Ghana","BTR",2024,"HazardAction","[1308 • Action] Under the Ministry of Works and Housing (MWH), HSD has operated and manages primary storm drains, coordinates coastal protection works, and monitors surface water bodies concerning floods."
"Ghana","BTR",2024,"HazardResult",NA
"Ghana","BTR",2024,"SystemPriority","[1242 • Adaptation priorities] Develop Climate-resilient Agriculture and Food Security Systems"
"Ghana","BTR",2024,"SystemAction","[1266 • Action] With support from the government of the Netherlands, Ghana conducted its inaugural vulnerability assessment (VA) study in 2008 and has since been supported by other development partners such as IISD, …"
"Ghana","BTR",2024,"SystemResult","[1294 • Result] Alternative Livelihoods: Improving access to natural resources and increasing incomes, benefiting over a million people."
"Greece","BTR",2024,"HazardSystem","[1334 • System at risk] September 2023 was the month with the largest wet anomaly, which was observed in the region of Thessaly after extreme rainfall associated with the storm Daniel; this event led to an exceptional amount…"
"Greece","BTR",2024,"HazardPriority","[1366 • Adaptation priorities] Different funding streams that can provide funds for the implementation of actions that contribute to adaptation, especially in sectors of high vulnerability (i.e. agriculture, water management and fl…"
"Greece","BTR",2024,"HazardAction","[1407 • Action] A new National Committee to Combat Desertification has been established in 2021 and mandated to review and revise the National Action Plan for Combating Desertification."
"Greece","BTR",2024,"HazardResult",NA
"Greece","BTR",2024,"SystemPriority","[1364 • Adaptation priorities] Sectoral analyses of the progress in mainstreaming adaptation into the NAS’s key adaptation sectors have been drafted; Workshops to identify measures to further increase adaptation mainstreaming into …"
"Greece","BTR",2024,"SystemAction","[1407 • Action] A new National Committee to Combat Desertification has been established in 2021 and mandated to review and revise the National Action Plan for Combating Desertification."
"Greece","BTR",2024,"SystemResult","[1413 • Result] National Adaptation Observatory (NAO) will develop and operate the open-access national database of climate data and information, building on the results of ongoing activities & initiatives at a natio…"
"Guyana","BTR",2024,"HazardSystem","[2202 • System at risk] Incremental climate change and extreme events cause wildfire with the consequence that agricultural land (particularly for smallholders in the hinterland) is damaged or destroyed and food security is …"
"Guyana","BTR",2024,"HazardPriority","[2232 • Adaptation priorities] Strengthen institutional capacity of Government to manage water levels in the East Demerara Water Conservancy and to guide interventions aimed at reducing vulnerability to flooding"
"Guyana","BTR",2024,"HazardAction",NA
"Guyana","BTR",2024,"HazardResult",NA
"Guyana","BTR",2024,"SystemPriority","[2231 • Adaptation priorities] Expand current extension services to farmers to include provision of etraining (where Internet access permits) in agronomic farming practices; and continued improvement and implementation of the ‘Six-…"
"Guyana","BTR",2024,"SystemAction",NA
"Guyana","BTR",2024,"SystemResult",NA
"Honduras","BTR",2024,"HazardSystem","[6143 • Hazard] Regarding the average annual precipitation, long-term reductions are expected in all scenarios and regions (with a 10% reduction for the RCP scenario 8.5). The above implies an intensification of drou…"
"Honduras","BTR",2024,"HazardPriority","[6155 • Adaptation priorities] Reduce the incidence and number of people affected by disease vectors"
"Honduras","BTR",2024,"HazardAction","[6183 • Action] Constant monitoring of climate-sensitive diseases, incidence of vector-borne diseases and those derived from sources of water pollution"
"Honduras","BTR",2024,"HazardResult",NA
"Honduras","BTR",2024,"SystemPriority","[6154 • Adaptation priorities] Protect sources suppliers and producers of water for contribute to improving the quality and quantity of drinking water available to the population for use domestic"
"Honduras","BTR",2024,"SystemAction","[6183 • Action] Constant monitoring of climate-sensitive diseases, incidence of vector-borne diseases and those derived from sources of water pollution"
"Honduras","BTR",2024,"SystemResult",NA
"Indonesia","BTR",2024,"HazardSystem","[2620 • System at risk] Climate variability can impact the sustainability of water resources by increasing the risks of floods and droughts."
"Indonesia","BTR",2024,"HazardPriority","[2644 • Adaptation priorities] Enhancing disease surveillance"
"Indonesia","BTR",2024,"HazardAction","[2695 • Action] Genta Organik (Gerakan Tani Pro Organik), encourages farmers to independently produce and use organic fertilizers and natural pesticides. This program has been implemented in 1,020 farmer group field …"
"Indonesia","BTR",2024,"HazardResult",NA
"Indonesia","BTR",2024,"SystemPriority","[2654 • Adaptation priorities] Protection and restoration of ecosystems"
"Indonesia","BTR",2024,"SystemAction","[2703 • Action] Up until 2022, the social forestry program has distributed access rights for forest area utilization to communities covering 5.31 million hectares, 1.1 million households, with 7,644 units of decree."
"Indonesia","BTR",2024,"SystemResult","[2688 • Result] In 2022, 2,070 farming business operators have obtained access to financing through credit and funding facilitation programs"
"Ireland","BTR",2024,"HazardSystem","[2730 • Hazard] Extreme Precipitation, River Flood, Pluvial Flood, Groundwater Flood, Landslide, Drought, Agricultural and Ecological Drought"
"Ireland","BTR",2024,"HazardPriority",NA
"Ireland","BTR",2024,"HazardAction",NA
"Ireland","BTR",2024,"HazardResult",NA
"Ireland","BTR",2024,"SystemPriority",NA
"Ireland","BTR",2024,"SystemAction","[2738 • Action] Sub-nationally, in January 2018, the Irish Government established four CAROs. The four CAROs are: Atlantic Seaboard North, Atlantic Seaboard South, Dublin Metropolitan Region, and Eastern and Midlands…"
"Ireland","BTR",2024,"SystemResult","[2739 • Result] The new NAF specifies 13 actions that requires the Department of Environment, Climate and Communications and other stakeholders to address. Action 1 was completed on the 28th August with the publicati…"
"Israel","BTR",2025,"HazardSystem","[1432 • System at risk] In April 2018, a pre-military preparatory school, consisting of youth between the ages of 17- 18, lost 10 participants. This disaster was a result of an intense flash flood that occurred where they we…"
"Israel","BTR",2025,"HazardPriority",NA
"Israel","BTR",2025,"HazardAction","[1447 • Action] Government resolution 1091: ""National plan to deal with forest fires, groves and open areas"", February 2022 . This resolution focuses on mitigating the risks of forest fires, an essential goal conside…"
"Israel","BTR",2025,"HazardResult",NA
"Israel","BTR",2025,"SystemPriority","[1435 • Adaptation priorities] In the implementation of the National Adaptation Plan, vulnerable populations are to be addressed by ensuring adaptability for all sectors of society"
"Israel","BTR",2025,"SystemAction","[1445 • Action] Government resolution 4079: ""Israel's Preparedness for Adaptation to Climate Change"", July 2018 . [94] The goal is to reach a high level of preparedness for the effects of a changing climate, reduce t…"
"Israel","BTR",2025,"SystemResult",NA
"Italy","BTR",2024,"HazardSystem",NA
"Italy","BTR",2024,"HazardPriority",NA
"Italy","BTR",2024,"HazardAction","[1471 • Action] In 2021, a funding Programme for urban adaptation was launched by the Ministry for Environment and energy Security. This Programme is aimed at increasing the resilience of cities to the risks of clima…"
"Italy","BTR",2024,"HazardResult",NA
"Italy","BTR",2024,"SystemPriority",NA
