"Country","Document","Element","ElementText","HazardType","SystemType","SectorType","SectorType_GGA"
"Costa Rica","BTR","System at risk","Premature maturation due to changes in patterns
of rain, especially floods.","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Côte d'Ivoire","BTR","System at risk","High population density within 100 m of the shore","",NA,"Ocean, coastal ecosystems","Biodiversity and ecosystems"
"Côte d'Ivoire","BTR","System at risk","With the drop in atmospheric humidity, the archaic work of the soil (with tools rudimentary tools such as the hoe, the daba and the machete) will become increasingly difficult.","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Côte d'Ivoire","BTR","System at risk","Low water periods and flooding could become random if the trends in these parameters climate change does not stabilize, which would make certain sectors of activity","",NA,"Water, sanitation, hygiene","Water and sanitation"
"Côte d'Ivoire","BTR","System at risk","Most models predict a significant increase in risk of exposure to drought.","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Côte d'Ivoire","BTR","System at risk","Decrease in rainfall and shortening of rainy seasons","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Côte d'Ivoire","BTR","System at risk","Degradation and loss of soil fertility, loss of plant cover","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Côte d'Ivoire","BTR","System at risk","Low drainage capacity of the soils","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Côte d'Ivoire","BTR","System at risk","Decrease in the availability lands cultivable","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Croatia","BTR","System at risk","Reduction of water quantity in watercourses and in spring","",NA,"Water, sanitation, hygiene","Water and sanitation"
"Croatia","BTR","System at risk","Reduction of water levels in lakes and other lake type natural or built-up systems","",NA,"Water, sanitation, hygiene","Water and sanitation"
"Croatia","BTR","System at risk","Increased frequency and intensity of flooding in vulnerable areas","",NA,"Water, sanitation, hygiene","Water and sanitation"
"Croatia","BTR","System at risk","Increased frequency and intensity of torrents","",NA,"Water, sanitation, hygiene","Water and sanitation"
"Croatia","BTR","System at risk","It is expected that deterioration of hydrological conditions due to climate change will increase the frequency and duration of dry periods on the one hand, and the frequency and intensity of flood situations on the other hand","",NA,"Water, sanitation, hygiene","Water and sanitation"
"Croatia","BTR","System at risk","Increase in water temperature followed by reduction in reception capability of aquatic receivers","",NA,"Water, sanitation, hygiene","Water and sanitation"
"Croatia","BTR","System at risk","Increased frequency and intensity of rainwater floods in urban areas","",NA,"Water, sanitation, hygiene","Water and sanitation"
"Croatia","BTR","System at risk","Rising sea levels, and thus the risk of flooding at mouths of watercourses","",NA,"Water, sanitation, hygiene","Water and sanitation"
"Croatia","BTR","System at risk","Sea floods caused by rising sea levels","",NA,"Crosscutting",NA
"Cuba","BTR","System at risk","Typology and construction designs inadequate to withstand strong winds, floods and impact of waves and the increasing effect of saltpeter.","",NA,"Livelihoods, poverty, sustainable development","Poverty eradication and livelihoods"
"Cuba","BTR","System at risk","The intensity of the erosion and sedimentation processes that take place in the country have reduced reservoir capacities, affecting the rate of available water","",NA,NA,NA
"Cuba","BTR","System at risk","Typology and construction designs inadequate to withstand strong winds, floods and impact of waves and the increasing effect of saltpeter","",NA,"Cities, settlements, key infrastructure","Infrastructure and human settlements"
"Czech Republic","BTR","System at risk","A greater likelihood of drought occurrence and intensity, faster vegetation development (this translates into a shorter time to biomass formation in the case of existing varieties),","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Czech Republic","BTR","System at risk","A higher risk of stress from high temperatures during sensitive developmental stages,","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Czech Republic","BTR","System at risk","The length and frequency of heat waves due to the increasing frequency and magnitude of extreme air temperatures, the change in the frequency of flooding, and in particular urban flooding caused when the capacity of drainage systems is exceeded, the length of droughts potentially threatening water security","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Czech Republic","BTR","System at risk","Regarding the future development of climate change impacts on the water regime, it can be stated that the projected changes in runoff are uncertain, but indicate an increase in winter runoff and rather a decrease in total runoff in other seasons. In terms of changes in the annual balance, runoff projections are uncertain even in the more distant future, but the probability of decreasing summer and autumn runoff increases significantly","",NA,"Water, sanitation, hygiene","Water and sanitation"
"Czech Republic","BTR","System at risk","Another precursor to higher drought incidence will be the expected change in rainfall variability, with the number of rainfall days decreasing, especially in spring and summer, while the intensity of individual rainfall events increases.","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Estonia","BTR","System at risk","The collection of timber, herbaceous biomass, or peat is a highly seasonal activity. These fuels require interim storage, which increases vulnerability if the storage conditions are not protected from the weather conditions","",NA,"Cities, settlements, key infrastructure","Infrastructure and human settlements"
"Finland","BTR","System at risk","Spring floods are expected to decrease and winter floods become more common","",NA,"Cities, settlements, key infrastructure","Infrastructure and human settlements"
"Finland","BTR","System at risk","Climate change creates new possibilities for vectorborne disases.","",NA,"Health, wellbeing, communities","Health"
"Finland","BTR","System at risk","The effects of climate change on natural habitats are primarily qualitative. Habitat types can also disappear as a result of climate change.","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Gabon","BTR","System at risk","In addition to these floodings, there are also significant saline intrusions, especially in dry season (between June and September), when the Ogooué is less loaded with fresh water.","",NA,NA,NA
"Gabon","BTR","System at risk","Lack of access to modern technologies to anticipate and respond to the impacts of climate change.","",NA,NA,NA
"Gabon","BTR","System at risk","Low innovation capacity to develop solutions sustainable adaptation.","",NA,NA,NA
"Ghana","BTR","System at risk","A recent study projected that flows in the Volta Basin could fall by 24% by 2050 and 45% by 2100 due to reduced rainfall and increased evaporation","",NA,"Water, sanitation, hygiene","Water and sanitation"
"Guyana","BTR","System at risk","The water sector is sensitive to changes in precipitation, particularly the regular droughts that take place across the country, which show a strong correlation with El Niño conditions","",NA,"Water, sanitation, hygiene","Water and sanitation"
"Guyana","BTR","System at risk","Increase in extreme rainfall events causes flooding with the consequence that some spawning areas increase in size, with the consequence that productivity is higher in the newly flooded areas","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Guyana","BTR","System at risk","Under the maximum storm surge scenario, at least 139,000 hectares of land may be inundated by the 2030s, and at least 140,000 hectares by the 2070s.","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Guyana","BTR","System at risk","Changes in precipitation patterns, coupled with rising temperatures, may result in an increase in the number of droughts","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Guyana","BTR","System at risk","Medium- and large-scale mining and quarrying activities use a range of large fixed assets, such as recovery and haulage equipment (e.g. dredges, excavators, bulldozers, crushers), which are sensitive to a range of climate-related hazards, including extreme temperatures, flooding and land instability.","",NA,"Cities, settlements, key infrastructure","Infrastructure and human settlements"
"Guyana","BTR","System at risk","The landform features in hard rock mining, including pit walls and waste rock piles, are also vulnerable to flooding and land instability associated with extreme rainfall events.","",NA,"Cities, settlements, key infrastructure","Infrastructure and human settlements"
"Guyana","BTR","System at risk","The projected rise in temperatures and long periods of drought are predicted to lead to more frequent and more intense fires","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Guyana","BTR","System at risk","Fire damaged areas are subsequently vulnerable to erosion from wind and water, leading to sedimentation of waterways.","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Guyana","BTR","System at risk","Increase in extreme rainfall events causes flooding with the consequence that resources are directed to disaster response efforts","",NA,"Health, wellbeing, communities","Health"
"Guyana","BTR","System at risk","Increased pressure or changes in ecosystems and habitats may cause increased tension between different interested stakeholder groups","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Guyana","BTR","System at risk","Increase in extreme rainfall events causes flooding with the consequence that resources are required for disaster response efforts","",NA,NA,NA
"Kazakhstan","BTR","System at risk","Increased temperatures will elevate cooling demands during the warm season while reducing heating needs during the cold season","",NA,NA,NA
"Kazakhstan","BTR","System at risk","The 2024 floods caused USD480 million in damage, and landslides in mountainous areas pose a significant risk to communities","",NA,"Crosscutting",NA
"Kazakhstan","BTR","System at risk","Mudflows alone are projected to increase tenfold, threatening 26% of Kazakhstan’s population living in high-risk areas, particularly mountainous regions","",NA,NA,NA
"Kazakhstan","BTR","System at risk","Concurrently, more intense downpours24 are expected to increase the frequency and severity of floods and mudflows, with weatherrelated emergencies rising from 39 in 2012 to 130 in 2021.","",NA,NA,NA
"Kenya","BTR","System at risk","The 2008 – 2011 drought is estimated to have cost Kenya USD12.1 billion, including USD 805.6 million for the destruction of physical and durable assets","",NA,NA,NA
"Latvia","BTR","System at risk","Increase in demand for indoor cooling","",NA,"Cities, settlements, key infrastructure","Infrastructure and human settlements"
"Latvia","BTR","System at risk","Investments for installation of room cooling and ventilation","",NA,"Cities, settlements, key infrastructure","Infrastructure and human settlements"
"Lithuania","BTR","System at risk","Changes in floods and flash floods","",NA,"Water, sanitation, hygiene","Water and sanitation"
"Lithuania","BTR","System at risk","Impact of extreme weather events","",NA,"Health, wellbeing, communities","Health"
"Lithuania","BTR","System at risk","Air quality fluctuations","",NA,"Health, wellbeing, communities","Health"
"Lithuania","BTR","System at risk","Increasing frequency of heatwaves and dry spells","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Lithuania","BTR","System at risk","Heavy rain and storms","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Lithuania","BTR","System at risk","Change in heating and cooling demand","",NA,"Cities, settlements, key infrastructure","Infrastructure and human settlements"
"Lithuania","BTR","System at risk","Higher temperatures lead to a faster decomposition of soil organic matter, resulting in lower soil fertility.","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Lithuania","BTR","System at risk","The negative impacts of climate change on green spaces and water bodies may lead to the decline or loss of some natural tourist attractions.","",NA,"Livelihoods, poverty, sustainable development","Poverty eradication and livelihoods"
"Lithuania","BTR","System at risk","The extremely high temperatures and smoke inhalation can endanger the cardiovascular system, the eyes and the mental state of a person.","",NA,"Health, wellbeing, communities","Health"
"Maldives","BTR","System at risk","Due to limited island size and high tourist appeal, accommodations are often situated within 100 metres of the shoreline (MHAHE, 2001), and sometimes as close as 5 metres from the vegetation line. This proximity makes 99% of resort accommodations highly vulnerable to rising sea levels and intense wave action","",NA,"Livelihoods, poverty, sustainable development","Poverty eradication and livelihoods"
"Maldives","BTR","System at risk","Rising temperatures are expected to increase the number of people vulnerable to heat-related conditions, especially among high-risk groups.","",NA,"Health, wellbeing, communities","Health"
"Mexico","BTR","System at risk","In 2021, hydrometeorological phenomena, mainly tropical cyclones, severe rains and floods affected 196 municipalities in the country, of which 31.1% have a high degree of  arginalization, while 10.8% has a very high degree","",NA,NA,NA
"Moldova","BTR","System at risk",NA,"",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Monaco","BTR","System at risk","Even though air pollutant emission levels are falling significantly, with increasing temperatures and sunshine, favorable conditions for the occurrence of ozone peaks could occur more frequently and during longer periods (from spring to autumn).","",NA,NA,NA
"Monaco","BTR","System at risk","Worsening of flooding and submerged areas","",NA,NA,NA
"Montenegro","BTR","System at risk","Droughts and reduced rainfall reduce the amount of organic matter in the soil, increase the need for irrigation systems, limit plant growth, and reduce the availability of food for farm animals","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Montenegro","BTR","System at risk","Increased lightning activity occurring during more frequent storms poses significant risks to both overhead lines and transformers.","",NA,"Cities, settlements, key infrastructure","Infrastructure and human settlements"
"Morocco","BTR","System at risk","Climate change, through reduced rainfall, rising sea levels temperatures and the prolongation of drought periods, subject ecosystems to intense stress. This leads to a drop in their productivity and contributes to their degradation","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Morocco","BTR","System at risk","In addition to these droughts, there are events extreme weather, such as thunderstorms and floods causing property damage and humans, particularly in the Tangier-Tetouan-Al Hoceima region and in the  southeast of the country.","",NA,NA,NA
"Morocco","BTR","System at risk","Climate projections predict a decrease in precipitation of 5 to 20% by 2050, which will lead to a significant drop in surface runoff and accentuate the deficit of water.","",NA,NA,NA
"Nepal","BTR","System at risk","These severities of the impacts are likely to experienced high/very by most of the districts of Koshi province, Madesh province, Bagmati province and Gandaki province by 2030. Tarai districts and districts of Province two are expected to experience increased extreme events, and the eastern districts of Province one will experience a very high incidence of extreme events.","",NA,NA,NA
"Norway","BTR","System at risk","More precipitation, especially over short periods of time, increases the risk of stormwater and of more frequent and extensive rainwater flooding. Periods of heavy precipitation may result in more landslides and debris floods.","",NA,NA,NA
"Panama","BTR","System at risk","Risk of drought and alteration of the hydrological regime","",NA,NA,NA
"Panama","BTR","System at risk","Human risks associated with fires","",NA,NA,NA
"Panama","BTR","System at risk","Risk of death from heat waves","",NA,NA,NA
"Paraguay","BTR","System at risk","Projections indicate increases significant in the average annual temperature in Paraguay around the year 2100.","",NA,NA,NA
"Peru","BTR","System at risk","In future scenarios, the level of hazard caused by Glacier retreat is gradually increasing. By 2030, the danger level is high to very high, while, by 2050, all glaciers will present a very high level of danger","",NA,NA,NA
"Phillipines","BTR","System at risk","Increased precipitation significantly increases the risk of landslides, threatening the lives of two million Filipinos.","",NA,NA,NA
"Portugal","BTR","System at risk","Iberia is highly vulnerable to climate change, indicating a significant increase in the intensity and severity of drought occurrences, even for the low-end RCP2.6 scenario. For the RCP4.5 and RCP8.5 scenarios, the increases are more pronounced and enhanced throughout the 21st century, from 3 up to 12 more severe droughts for the shorter timescales with increases in mean duration above 30 months for the longer accumulation periods.","",NA,NA,NA
"Russia","BTR","System at risk","Rising air temperatures increase the risks both in cold and in warm periods (the need for heating and air conditioning will change significantly, especially in the south of the country).","",NA,NA,NA
"Serbia","BTR","System at risk","By the end of the century, under the scenario that assumes continued greenhouse gasses emissions growth (RCP8.5), the reduction in areas with favourable climate conditions could exceed 70%, and possible even 90%","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Serbia","BTR","System at risk","During the 2041– 2060 period, temperature in urban hear island areas are expected to reach levels dangerous even for heathly individuals in 2-3 years per decade.","",NA,"Health, wellbeing, communities","Health"
"Serbia","BTR","System at risk","Risks associated with unfavourable growing conditions are expected to increase in the future","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Seychelles","BTR","System at risk","Seychelles is projected to experience increased average temperatures and changes in rainfall patterns, leading to more frequent and intense rainfall events, including flooding and landslides, and potentially longer periods of drought","",NA,"Livelihoods, poverty, sustainable development","Poverty eradication and livelihoods"
"Slovakia","BTR","System at risk","Climate change also fundamentally affects the direction and rate of accumulation and transformation of soil organic matter. Higher temperatures can affect the decomposition of soil organic matter and the mineralisation process will overwhelm the wetting processes. This can cause soil acidification. This will also affect the deterioration of the physical properties of the soil, such as its structure, and may also lead to soil compaction","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Slovakia","BTR","System at risk","Changes in the hydrological regime show an increased need for redistribution of runoff from areas between the north and south of the Slovak Republic (in other words, between higher and lower altitudes), i.e. redistribution of runoff inter-annually or over the course of the year.","",NA,"Water, sanitation, hygiene","Water and sanitation"
"Slovenia","BTR","System at risk","Drought is occurring with increasing intensity, even in regions where it was previously uncommon","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Slovenia","BTR","System at risk","The Triglav Glacier has been retreating rapidly since the 1980s, splitting into two separate parts in 1992. Only temporary slowdowns in its retreat have been observed during years with above-average snow cover","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Sweden","BTR","System at risk","Habitats and populations are at risk of reducing or even disappearing, while others may have new and expanded distribution areas","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Sweden","BTR","System at risk","Wounds infected by vibrio bacteria in water represent a new problem that emerged in the Baltic Sea region in the 2000s. These bacteria increase in number with higher water temperatures.","",NA,"Health, wellbeing, communities","Health"
"Sweden","BTR","System at risk","Higher water temperatures also increase the risk of toxic algal blooms and the growth of gastro-intestinal bacteria.","",NA,"Health, wellbeing, communities","Health"
"Sweden","BTR","System at risk","Pollinating insects are more susceptible to changes in heat conditions compared to plants, which are normally controlled by light conditions. This means that there is a risk that insects start to be active before the plants they pollinate begin to flower","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Sweden","BTR","System at risk","Pollinating insects react more to changes in heat conditions than plants, which are normally controlled by light conditions. This means that there is a risk that the insects will start to fly before the plants they pollinate have begun to flower","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Sweden","BTR","System at risk","The risk of water borne infections increases during warm summers when more people swim outdoors","",NA,"Health, wellbeing, communities","Health"
"Sweden","BTR","System at risk","A reduction in sea ice can benefit commercial shipping. However, it may also pose a challenge as smaller ice sheets can gather and create ice surges which still requires assistance from icebreakers for ships to pass through. Ice condition can hamper crisis management, such as search and rescue and oil spill response.","",NA,"Cities, settlements, key infrastructure","Infrastructure and human settlements"
"Sweden","BTR","System at risk","Increased water flows could cause problems through an increased risk of erosion and landslides in narrow passages, such as canals.","",NA,"Cities, settlements, key infrastructure","Infrastructure and human settlements"
"Tajikistan","BTR","System at risk","The reduction in the number of glaciated zones will have a significant impact on fresh water supplies in the Panj, Vakhsh and Zeravshan basins, which will further exacerbate tensions over water rights, both within and outside the country","",NA,NA,NA
"Türkiye","BTR","System at risk","Heatwaves also pose a severe risk, especially in southern cities with dense populations and few natural areas.","",NA,"Cities, settlements, key infrastructure","Infrastructure and human settlements"
"Türkiye","BTR","System at risk","Current assessments show high or very high risks of heavy precipitation in cities along the Black Sea, Aegean, Mediterranean, and Southeastern Anatolia, with heatwave risks concentrated in the southern half of the country. These risks are expected to increase in the future.","",NA,"Cities, settlements, key infrastructure","Infrastructure and human settlements"
"Türkiye","BTR","System at risk","Cultural heritage sites are also highly vulnerable, with heatwaves and moisture accelerating degradation of monuments and archaeological sites. The 2023 floods in southern Türkiye demonstrated the risks to multi-layered heritage sites, museums, and archives, where damage to artifacts could be irreversible.","",NA,"Livelihoods, poverty, sustainable development","Poverty eradication and livelihoods"
"Türkiye","BTR","System at risk","Climate change poses significant risks to Türkiye's industrial sector, especially from extreme weather events like drought, heavy precipitation, and heatwaves","",NA,"Cities, settlements, key infrastructure","Infrastructure and human settlements"
"Türkiye","BTR","System at risk","Heatwaves also present high risks, particularly in western and southern Türkiye, with risks expected to increase in the future.","",NA,NA,NA
"Uzbekistan","BTR","System at risk","Incremental change in climate and precipitation regime precipitation (increased extreme precipitation) increases the risk the occurrence of landslides, which results in the washing away of the upper fertile layer of the soil, water erosion increases.","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Uzbekistan","BTR","System at risk","Increased climate change and dust storms worsen living conditions of the population: during the dust and sand storm in November 2021 in Tashkent, the concentration of dust was 30 MPC (about 700 ambulance calls) assistance were associated with difficulty breathing).","",NA,"Health, wellbeing, communities","Health"
"Uzbekistan","BTR","System at risk","Growing climate change increases outbreaks of locust breeding in populated areas Karakalpakstan, cases of termite infestations have become more frequent.","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Uzbekistan","BTR","System at risk","Increased climate change and heat waves and droughts reduce the secretion of nectar by flowering plants, which threatens both flowering plants pollinated by with the help of pollinating insects, as well as the insects themselves.","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Uzbekistan","BTR","System at risk","Increased climate change, rise in abnormally hot weather periods cause a decrease in transpiration cooling of plants, reduction of CO2 concentration in tissues leaves and a decrease in photosynthesis, which causes irreversible damage to plants.","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Uzbekistan","BTR","System at risk","Increased climate change, drought and desiccation of delta reservoirs (lower reaches of the Amu Darya, 1999-2000 and 2008) complicate conditions for migratory birds and force them to change their location.","",NA,"Terrestrial, freshwater ecosystems","Biodiversity and ecosystems"
"Venezuela","BTR","System at risk","Decrease in soil fertility","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Venezuela","BTR","System at risk","Reduction of the area under irrigation","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Venezuela","BTR","System at risk","Changes in the precipitation and temperature would affect the experimental stations","",NA,"Livelihoods, poverty, sustainable development","Poverty eradication and livelihoods"
"Venezuela","BTR","System at risk","Climate events affect their traditional ways of life, which represents a significant threat for these communities.","",NA,NA,NA
"Venezuela","BTR","System at risk","The changes in minimum temperatures (previously estimated) will directly affect the basin, impacting biological cycles and the ability of ecosystems to recover","",NA,NA,NA
"Zimbabwe","BTR","System at risk","In urban areas high rainfall associated with intense thunderstorms has exacerbated flooding due to decreased drainage capacity and e) land/mudslides and rock falls.","",NA,"Cities, settlements, key infrastructure","Infrastructure and human settlements"
"Zimbabwe","BTR","System at risk","There are also shifts in the start and end of the rainfall seasons leading to shorter seasons","",NA,"Food, fiber, other ecosystem products","Food and agriculture"
"Zimbabwe","BTR","System at risk","Drying out of water bodies","",NA,"Livelihoods, poverty, sustainable development","Poverty eradication and livelihoods"
"Zimbabwe","BTR","System at risk","Rising temperatures and altered precipitation patterns are affecting the availability of water for wildlife in conservation areas such as Hwange National Park.","",NA,"Livelihoods, poverty, sustainable development","Poverty eradication and livelihoods"
