"Country","Document","ElementText","HazardType"
"Rwanda","BTR","<span title='The frequency and intensity of hot days are likely to increase'>The frequency and intensity of hot days are likely...</span>","Extreme temperature"
"Rwanda","BTR","<span title='Rising temperatures also influence human health, exacerbating heat-related illnesses, and disrupt ecosystems, which may lead to shifts in species distribution and ecosystem functions.'>Rising temperatures also influence human health, e...</span>","Change in temperature"
"Rwanda","BTR","<span title='Projected higher temperatures can drive increased water and energy demands, as well as exacerbate heat-related illnesses and disrupt ecosystems, potentially leading to shifts in species distribution and ecosystem functions'>Projected higher temperatures can drive increased ...</span>","Change in temperature"
"Rwanda","BTR","<span title='Positive developments in Rwanda are at risk from rising temperatures and fluctuating rainfall. These climate challenges could significantly affect key sectors such as agriculture, energy, health, and tourism. Furthermore, they may undermine efforts to create jobs, boost productivity, and ensure inclusive economic growth.'>Positive developments in Rwanda are at risk from r...</span>","Change in temperature;Change in precipitation"
"Rwanda","BTR","<span title='Rising temperatures compromise the quality and productivity of highly lucrative, temperature-sensitive tea and coffee (which account for more than 20 per cent of export earnings) as agroecological zones shift to higher elevations with less arable land'>Rising temperatures compromise the quality and pro...</span>","Change in temperature"
"Rwanda","BTR","<span title='Temperature increases are likely to expand production potential through 2050 for maize, Irish potato, cassava, and sorghum'>Temperature increases are likely to expand product...</span>","Change in temperature"
"Rwanda","BTR","<span title='Bean yields are projected to decrease under a warming climate, especially in the lower elevations of the east and far southwest'>Bean yields are projected to decrease under a warm...</span>",""
"Rwanda","BTR","<span title='Reduced tea and coffee production due to heat stress and likely shifting in agro-ecological zones'>Reduced tea and coffee production due to heat stre...</span>","Extreme temperature"
"Rwanda","BTR","<span title='Warming temperatures are also likely to expand the range of crop pests, such as the coffee berry borer beetle, and livestock diseases, such as Rift Valley fever.'>Warming temperatures are also likely to expand the...</span>","Change in temperature;Pest and disease"
"Rwanda","BTR","<span title='Projections of longer dry spells are particularly concerning in the east and south, where approximately 44,000 households suffered crop and livestock losses in the 2016 drought.'>Projections of longer dry spells are particularly ...</span>","Drought"
"Rwanda","BTR","<span title='As 90 per cent of crops are grown on steep slopes, increased heavy rainfall events will exacerbate soil erosion and further degrade cultivated lands.'>As 90 per cent of crops are grown on steep slopes,...</span>","Storm;Change in precipitation;Land degradation"
"Rwanda","BTR","<span title='Warmer surface water temperatures accelerate bacterial growth and diminish water quality'>Warmer surface water temperatures accelerate bacte...</span>","Extreme temperature;Sea temperature"
"Rwanda","BTR","<span title='Increased flooding from heavy rainfall events threatens water infrastructure and quality'>Increased flooding from heavy rainfall events thre...</span>","Storm;Flood;Change in precipitation"
"Rwanda","BTR","Water shortage during longer dry spells","Drought"
"Rwanda","BTR","<span title='Flooding leads to increased drowning, displacement, and diarrheal and other waterborne disease'>Flooding leads to increased drowning, displacement...</span>","Flood;Pest and disease"
"Rwanda","BTR","<span title='Habitat degradation from heavy rainfall events, particularly following longer dry spells'>Habitat degradation from heavy rainfall events, pa...</span>","Storm;Drought;Change in precipitation"
"Rwanda","BTR","<span title='The recent severe flooding and landslides of May 2–3, 2023, in Rwanda's Western, Southern, and Northern Provinces resulted in devastating impacts. At least 135 lives were lost, 6,391 houses destroyed, and 20,326 people displaced, as entire villages were wiped out, including 5,963 homes. Additionally, critical infrastructure suffered significant damage, with 20 roads, 12 power stations, and even an entire hospital destroyed'>The recent severe flooding and landslides of May 2...</span>","Landslide;Flood"
"Rwanda","BTR","<span title='Critical infrastructure suffered significant damage, with 20 roads, 12 power stations, and even an entire hospital destroyed. This catastrophic event, exacerbated by torrential rains following an extended drought, highlights the growing vulnerability of communities to extreme weather events and underscores the urgent need for enhanced disaster preparedness, climate resilience, and sustainable development strategies'>Critical infrastructure suffered significant damag...</span>","Extreme temperature;Storm;Drought"
"Rwanda","BTR","<span title='In the last ten years (2014–2023), climate-related disasters in Rwanda have
caused significant damage to lives, property, and livelihoods. Lightning emerged as the
most fatal disaster, claiming 538 lives and injuring 1,338 individuals, while rainstorms
caused the most destruction to property, damaging 40,871 houses and 17,285.4 hectares
of crops'>In the last ten years (2014–2023), climate-related...</span>","Storm"
"Rwanda","BTR","<span title='The recent severe flooding and landslides of May 2–3, 2023, in Rwanda's Western, Southern, and Northern Provinces resulted in devastating impacts. At least 135 lives were lost, 6,391 houses destroyed, and 20,326 people displaced, as entire villages were wiped out, including 5,963 homes.'>The recent severe flooding and landslides of May 2...</span>","Landslide;Flood"
"Bulgaria","BTR","<span title='Over the last decades, the frequency of heatwaves has significantly increased. Most extreme heat events with temperatures ≥38°C and ≥40°C, as well as nearly 90% of heatwaves above 32°C, 34°C, and 36°C thresholds, have occurred after the mid-1980s'>Over the last decades, the frequency of heatwaves ...</span>","Extreme temperature"
"Bulgaria","BTR","<span title='Bulgaria has recorded numerous extreme rainfall events since 2000, especially in 2005 and 2014, causing severe damage and loss of life.'>Bulgaria has recorded numerous extreme rainfall ev...</span>","Change in precipitation"
"Bulgaria","BTR","<span title='Certain areas, such as the Eastern Rhodopes and northeastern Bulgaria, show significant rainfall increases, while decreases are noted in southwestern Bulgaria and high mountain zones'>Certain areas, such as the Eastern Rhodopes and no...</span>","Change in precipitation"
"Bulgaria","BTR","<span title='Floods, as extreme hydrological events, have been and continue to be one of the most important natural hazards, causing human casualties and economic losses'>Floods, as extreme hydrological events, have been ...</span>","Flood"
"Bulgaria","BTR","<span title='During the dry year of 2019, the database recorded 59 floods, most of them occurring in May and June'>During the dry year of 2019, the database recorded...</span>","Flood"
"Bulgaria","BTR","<span title='As a result of the rising temperatures during the winter months and earlier snowmelt, the characteristic spring river floods in Bulgaria and the risk of river floods are shifting to the winter months - December and January'>As a result of the rising temperatures during the ...</span>","Extreme temperature;Flood;Change in temperature"
"Bulgaria","BTR","<span title='In recent years, 93% of the floods occurring in the summer were flash and rain floods'>In recent years, 93% of the floods occurring in th...</span>","Flood"
"Bulgaria","BTR","<span title='The total annual volume of river runoff in the country in 2019 was 52% less than in 2018, and compared to the norms for the periods 1961–1990 and 1981–2010, the decrease is 36.1% and 24.3%, respectively. For 2020, the comparison with the norms for the same two periods shows a decrease in the total volume of the river runoff by 45.2% and 35.0%, respectively.'>The total annual volume of river runoff in the cou...</span>",""
"Bulgaria","BTR","<span title='The most significant is the decrease in runoff for the Black Sea region, followed by the West Aegean, East Aegean, and Danube River regions. During both dry years, groundwater reserves decreased, and in over 70% of the hydrogeological points across the entire country, a decrease in the levels and flow rates compared to the norms was recorded in individual months.'>The most significant is the decrease in runoff for...</span>",""
"Bulgaria","BTR","<span title='In a study for the period 1981–2010, the regions with natural constraints according to the “drought” criterion were identified by land location. They cover the regions along the Danube River, and in the central northern regions, they reach the Pre-Balkans. North-East Bulgaria, including Dobrudzha, is the most affected by the drought. In South Bulgaria, separate places in the valleys along the Struma River (around Blagoevgrad and the Petrich-Sandanski region) and the Mesta River are affected. The shortage of water will be felt more and more often in the Upper Thracian Lowland and some areas in the Yambol and Burgas regions.'>In a study for the period 1981–2010, the regions w...</span>","Drought"
"Bulgaria","BTR","<span title='Between 2000 and 2020, frost damage was observed in March and April, mainly in stone fruit crops. Spring frosts also harm field crops like sunflower, soybeans, corn, and vegetables. The dates of the last spring and first autumn frosts limit the growing season, varying across regions. In the southern regions, the frost-free period lasts longer, while the northern and higher areas have shorter periods. Over time, the occurrence of late spring frosts has become later, and the frost-free period has shortened. Early autumn frosts, especially in northern and western parts, are the most harmful to agriculture. The average frost-free period ranges from 187 to 232 days, with the southwest having the longest period. Climate warming is extending the frost risk period, affecting crop development stages like flowering and germination'>Between 2000 and 2020, frost damage was observed i...</span>","Extreme temperature"
"Bulgaria","BTR","<span title='Decreased crop yields due to temperature rises and reduced rainfall, though increased CO2 levels could improve some crops'>Decreased crop yields due to temperature rises and...</span>","Change in temperature;Change in precipitation"
"Bulgaria","BTR","<span title='Increased spread of pests, diseases, and weeds due to climate changes affecting their growth and interactions.'>Increased spread of pests, diseases, and weeds due...</span>","Pest and disease"
"Bulgaria","BTR","<span title='Heat stress impacting livestock health, breeding, and productivity'>Heat stress impacting livestock health, breeding, ...</span>","Extreme temperature"
"Bulgaria","BTR","<span title='These combined risks are expected to affect agricultural production, with droughts and floods causing yield variability. Given agriculture’s importance to Bulgaria’s economy, these climaterelated challenges will increasingly impact rural livelihoods'>These combined risks are expected to affect agricu...</span>","Drought;Flood"
"Bulgaria","BTR","<span title='Negative impacts: Droughts, floods, fires, and pest outbreaks threaten ecosystem integrity and could reduce ecosystem service provision in vulnerable areas like southern forests, lowlands, wetlands, alpine zones, and coastal areas.'>Negative impacts: Droughts, floods, fires, and pes...</span>","Extreme temperature;Drought;Wildfire;Flood;Pest and disease"
"Bulgaria","BTR","<span title='Extreme weather has caused some disruptions, mainly temporary power cuts and damage to the electricity grid, but energy infrastructure has largely remained unaffected so far'>Extreme weather has caused some disruptions, mainl...</span>","Extreme temperature"
"Bulgaria","BTR","<span title='Risks from heavy precipitation can damage infrastructure, reduce coal quality, and increase heat stress for outdoor workers'>Risks from heavy precipitation can damage infrastr...</span>","Extreme temperature;Change in precipitation"
"Bulgaria","BTR","<span title='Climate change increases fire risk and could disrupt gas transmission, especially during droughts and floods'>Climate change increases fire risk and could disru...</span>","Drought;Wildfire;Flood"
"Bulgaria","BTR","<span title='Increased temperatures will reduce plant efficiency and water availability for cooling.'>Increased temperatures will reduce plant efficienc...</span>","Change in temperature"
"Bulgaria","BTR","<span title='Warming temperatures may also lead to invasive species damaging energy infrastructure.'>Warming temperatures may also lead to invasive spe...</span>","Change in temperature"
"Bulgaria","BTR","<span title='Hydropower may suffer from reduced precipitation, and solar and wind power efficiency may decrease due to changes in cloud cover, wind patterns, and extreme storms'>Hydropower may suffer from reduced precipitation, ...</span>","Storm;Change in precipitation"
"Bulgaria","BTR","<span title='Extreme weather events may damage transmission lines, especially in mountainous areas, and heat waves may reduce transmission efficiency'>Extreme weather events may damage transmission lin...</span>","Extreme temperature"
"Bulgaria","BTR","<span title='Increasing temperatures could reduce heating demand.'>Increasing temperatures could reduce heating deman...</span>","Change in temperature"
"Bulgaria","BTR","<span title='Climate change projections suggest higher temperatures, warmer winters, more summer droughts, and increased extreme weather events. These changes will reduce forest health, tree
growth, and increase damage from insects, fungi, fires, and storms. Impacts are already evident,
and future damage could result in significant economic losses, reduced carbon sequestration,
and the loss of important ecosystem services'>Climate change projections suggest higher temperat...</span>","Extreme temperature;Storm;Drought;Wildfire;Change in temperature"
"Bulgaria","BTR","<span title='Climate change in Bulgaria is marked by rising temperatures, more heatwaves and cold spells, altered rainfall patterns, increased heavy rainfalls, more extreme weather events (windstorms, cyclones, floods, droughts), and changes in ultraviolet (UV) radiation. These changes affect human health in complex ways, influenced by socioeconomic, health, and personal factors'>Climate change in Bulgaria is marked by rising tem...</span>","Extreme temperature;Storm;Drought;Flood;Change in temperature;Change in precipitation"
"Bulgaria","BTR","<span title='Higher mortality due to extreme weather and fires, especially among vulnerable groups, as well as increased morbidity from waterborne and foodborne diseases, and PTSD after extreme events'>Higher mortality due to extreme weather and fires,...</span>","Extreme temperature;Wildfire;Pest and disease"
"Bulgaria","BTR","<span title='More cases of Cryptosporidiosis and Campylobacteriosis, as well as diarrheal infections, due to increased precipitation, higher temperatures, and changes in water quality'>More cases of Cryptosporidiosis and Campylobacteri...</span>","Change in temperature;Change in precipitation"
"Bulgaria","BTR","<span title='Tourism in Bulgaria is vulnerable to climate change due to its weather dependence and seasonal nature. Extreme events, such as heatwaves, intense rainfall, coastal flooding, and storms, are expected to increase. Winter tourism is already affected by higher temperatures, and ski areas may become economically unviable in the near future. Rising summer temperatures and sea-level rise will threaten coastal areas. Climate change may also indirectly affect tourism through resource scarcity (especially water) and higher energy demands, such as for air conditioning'>Tourism in Bulgaria is vulnerable to climate chang...</span>","Extreme temperature;Storm;Flood;Change in temperature;Change in precipitation;Sea level rise"
"Bulgaria","BTR","<span title='Increased frequency and impact of floods will damage road and railway infrastructure, undermining subbase layers and causing catastrophic failures'>Increased frequency and impact of floods will dama...</span>","Flood"
"Bulgaria","BTR","<span title='More extreme rainfall events will increase the frequency of landslides, damaging roads, railways, and river banks, leading to operational disruptions and restricted access to key areas'>More extreme rainfall events will increase the fre...</span>","Landslide;Change in precipitation"
"Bulgaria","BTR","<span title='While snowfall is expected to decrease in the long term, blizzards and heavy snow will remain disruptive in the short- and medium-term, especially in northern and northeastern regions'>While snowfall is expected to decrease in the long...</span>","Extreme temperature"
"Bulgaria","BTR","<span title='Heatwaves can soften asphalt, leading to deformation and cracks, increasing accident risks. Extreme heat may also cause rail buckling and disrupt Danube River navigation due to droughts'>Heatwaves can soften asphalt, leading to deformati...</span>","Extreme temperature;Drought"
"Bulgaria","BTR","<span title='Urban areas in Bulgaria have experienced an increase in average annual temperatures and a higher frequency of intense precipitation, often accompanied by wind storms or hail, leading to a rise in floods'>Urban areas in Bulgaria have experienced an increa...</span>","Storm;Flood;Change in temperature;Change in precipitation"
"Bulgaria","BTR","<span title='Cold waves, though rare, may occur in both large and small mountain cities, potentially disrupting services, including food supply, especially when combined with snowfall'>Cold waves, though rare, may occur in both large a...</span>","Extreme temperature"
"Bulgaria","BTR","<span title='Flooding is anticipated to increase, affecting all settlements, particularly those near watercourses or illegal housing in flood-prone zones.'>Flooding is anticipated to increase, affecting all...</span>","Flood"
"Bulgaria","BTR","<span title='Hailstorms, often occurring with intense precipitation, will cause floods and damage buildings, vehicles, and infrastructure'>Hailstorms, often occurring with intense precipita...</span>","Storm;Flood;Change in precipitation"
"Bulgaria","BTR","<span title='Prolonged precipitation, combined with rising groundwater or wastewater seepage, may trigger landslides, especially in vulnerable areas such as the Black Sea and Danube cities.'>Prolonged precipitation, combined with rising grou...</span>","Landslide;Change in precipitation"
"Bulgaria","BTR","<span title='Landslides may also be triggered by earthquakes, which, while not linked to climate change, should be considered in the adaptation process'>Landslides may also be triggered by earthquakes, w...</span>","Landslide"
"Bulgaria","BTR","<span title='High temperatures and droughts will increase water stress, particularly in areas with scarce water resources and outdated infrastructure prone to significant water losses.'>High temperatures and droughts will increase water...</span>","Extreme temperature;Drought"
"Belize","BTR","<span title='Current climate trends indicate rising sea surface temperatures, changing precipitation patterns, and more frequent and intense extreme weather events such as hurricanes and tropical storms.'>Current climate trends indicate rising sea surface...</span>","Extreme temperature;Storm;Change in precipitation;Sea temperature"
"Belize","BTR","<span title='The average sea surface temperature along Belize’s coastline is expected to increase by 1°C within the next 50 years and by up to 2°C within the next century in some areas. Rising temperatures will lead to more frequent coral bleaching events, weaken marine ecosystems, and alter fish migration patterns, impacting fisheries.'>The average sea surface temperature along Belize’s...</span>","Change in temperature;Sea temperature;Ocean acidification"
"Belize","BTR","<span title='Sea levels are projected to rise between 16 and 21 cm (about 8.27 in) within the next 50 years, contributing to the erosion of beaches and the salinization of surface and groundwater resources. This will exacerbate the vulnerabilities of Belize’s low-lying coastal areas, putting critical infrastructure, tourist destinations, and human settlements at risk of inundation.'>Sea levels are projected to rise between 16 and 21...</span>","Flood;Salinization;Land degradation;Sea level rise"
"Belize","BTR","<span title='Belize is also expected to experience a decrease in annual precipitation, with models forecasting a reduction of 3.8% in the next 25 years and up to 11.7% by the end of the century. This reduction will intensify seasonal differences, with longer dry seasons and more severe droughts. Concurrently, the wet season is projected to bring more intense rainfall, leading to urban and rural flooding due to inadequate drainage systems.'>Belize is also expected to experience a decrease i...</span>","Drought;Flood;Change in precipitation"
"Belize","BTR","<span title='Under the optimistic scenario (RCP 2.6), the mean surface air temperature will rise gradually, with the maximum temperature increasing by approximately 2°C by the end of the century. The RCP 4.5 scenario, which assumes moderate emissions, suggests more drastic increases, with maximum temperatures reaching up to 32.65°C in 100 years. These changes will lead to more frequent extreme weather events, such as heatwaves and cold spells, with Belize experiencing increasing episodes of both'>Under the optimistic scenario (RCP 2.6), the mean ...</span>","Extreme temperature;Change in temperature"
"Belize","BTR","<span title='Spatial variation in temperature will also occur. In the RCP 2.6 scenario, the coolest areas will remain in the mountainous southern regions, while the hottest temperatures will be concentrated in northwestern Belize. By contrast, in the RCP 4.5 scenario, southern and coastal areas are projected to experience the highest temperatures, especially after 2080'>Spatial variation in temperature will also occur. ...</span>",""
"Belize","BTR","<span title='Projected changes in rainfall patterns across Belize reveal an overall decline in average annual precipitation, particularly in the northern and urbanized areas. However, some areas, especially in the mountainous south, may see slight increases in rainfall'>Projected changes in rainfall patterns across Beli...</span>","Change in precipitation"
"Belize","BTR","<span title='A decrease in the number of rainy days during the wet season but an increase in the intensity of those events, leading to more frequent torrential downpours.'>A decrease in the number of rainy days during the ...</span>","Storm"
"Belize","BTR","<span title='Expanding dry zones as urbanization and deforestation increase, reducing rainfall accumulation in developed areas.'>Expanding dry zones as urbanization and deforestat...</span>","Change in precipitation"
"Belize","BTR","<span title='Under RCP 4.5 and RCP 6.0, sea levels could rise by as much as 91.30 cm (about 3 ft) and 103.90 cm (about 3.41 ft), respectively, by the end of the century, posing a severe threat to Belize’s coastal communities, ecosystems, and infrastructure. The current mean sea level rise rate of 3.7 mm per year fits within the RCP 2.6 scenario, but this rate is expected to accelerate, especially under the more pessimistic RCP 4.5 and 6.0 scenarios.'>Under RCP 4.5 and RCP 6.0, sea levels could rise b...</span>","Sea level rise"
"Belize","BTR","<span title='SST is projected to rise by 1°C within the first 50 years and by a further 0.7°C by the end of the century. The highest temperature increases are expected in Chetumal Bay, where temperatures could be 2°C higher than surrounding waters for prolonged periods. These increases in SST will have profound impacts on marine ecosystems, particularly coral reefs, which are extremely sensitive to temperature changes'>SST is projected to rise by 1°C within the first 5...</span>","Change in temperature;Ocean acidification"
"Belize","BTR","<span title='Ocean acidification will increase by approximately 108% within the next 25 years and 111% by the end of the century, severely affecting marine life, especially coral reefs and cephalopods. As the acidity of the water increases, the ability of marine organisms to form shells and skeletons will be impaired, leading to disruptions in marine biodiversity and ecosystem functioning.'>Ocean acidification will increase by approximately...</span>","Ocean acidification"
"Belize","BTR","<span title='Coral bleaching, already observed in Belize, is exacerbated by rising sea surface temperatures. Projections suggest that a 1°C increase in water temperature above seasonal maxima could trigger mass bleaching events, while a 2°C increase could lead to widespread coral mortality. These changes reduce the reefs' ability to provide coastal protection from storm surges and diminish their role as critical habitats for marine species.'>Coral bleaching, already observed in Belize, is ex...</span>","Storm;Sea temperature;Ocean acidification"
"Belize","BTR","<span title='The combined effects of rising sea levels, more intense storms, and higher sea temperatures threaten Belize’s coastal communities. Sea level rise is expected to exacerbate beach erosion and inundation, which will endanger human settlements, tourist attractions, and critical infrastructure, especially in low-lying areas. The risk of stronger and more frequent tropical storms further increases the vulnerability of coastal regions to flooding, damage to infrastructure, and loss of life.'>The combined effects of rising sea levels, more in...</span>","Storm;Flood;Land degradation;Sea level rise;Sea temperature"
"Belize","BTR","<span title='Increasing temperatures and shifting rainfall patterns are expected to alter forest ecosystems, affecting species distribution, forest health, and ecosystem services'>Increasing temperatures and shifting rainfall patt...</span>","Extreme temperature;Change in temperature;Change in precipitation"
"Belize","BTR","<span title='Prolonged droughts can lead to forest degradation, increasing the risk of wildfires, pest infestations, and diseases that weaken tree resilience.'>Prolonged droughts can lead to forest degradation,...</span>","Drought;Wildfire;Pest and disease"
"Cambodia","BTR","<span title='Floods have had significant negative impacts on infrastructure throughout floodplain areas, with annual losses from flooding estimated between US$100-170 million from 2010 to 2019. In addition, the severe droughts of 2018-2019 affected over 50,000 people and severely impacted almost 2 million ha of crops'>Floods have had significant negative impacts on in...</span>","Drought;Flood"
"Cambodia","BTR","<span title='Between 2000 and 2019, the country experienced numerous typhoons, resulting in the damage of nearly 30,000 homes and the destruction of 113,000 ha of crops.'>Between 2000 and 2019, the country experienced num...</span>","Storm"
"Cambodia","BTR","<span title='Drought has a particularly negative effect on Cambodia's rural communities that depend on subsistence farming because of the correlation between reduced water availability and poorer productivity or yield—a result of both the lack of rainfall and the upstream damming of the Mekong River'>Drought has a particularly negative effect on Camb...</span>","Drought;Change in precipitation"
"Cambodia","BTR","<span title='At present Cambodia faces an annual median probability of severe meteorological drought of around 4%'>At present Cambodia faces an annual median probabi...</span>","Drought"
"Cambodia","BTR","<span title='Flooding is a major hazard that threatens the country and has caused enormous deaths and destruction'>Flooding is a major hazard that threatens the coun...</span>","Flood"
"Cambodia","BTR","<span title='As of 2010 assuming protection for up to a 1 in 25-year event, the population annually affected by flooding in Cambodia is estimated at 90,000 people and expected annual urban damage is estimated at US$105 million. Economic development and climate change are both expected to increase these projections can be expected to increase the annually affected population by 70,000 people, and urban damage by US$226 million under the RCP8.5 emissions pathway in 2030'>As of 2010 assuming protection for up to a 1 in 25...</span>","Flood"
"Cambodia","BTR","<span title='Cambodia already experiences some of the highest temperatures in the world, with an estimated national average of 64 days per year when the maximum temperature exceeds 35°C. The current median probability of a heat wave (defined as a period of 3 or more days where the daily temperature is above the long-term 95th percentage of daily mean temperature) is around 3%'>Cambodia already experiences some of the highest t...</span>","Extreme temperature"
"Cambodia","BTR","<span title='An increase in the frequency and intensity of heatwaves has been observed across recent decades that made a 29% contribution to the extreme temperatures experienced across Southeast Asia in April 2016, while ENSO contributed 49%'>An increase in the frequency and intensity of heat...</span>","Extreme temperature"
"Cambodia","BTR","<span title='In the year period of 1971-2020, Cambodia’s average mean temperature increased by 0.29°C per decade, while average maximum temperatures increased 0.32°C per decade over the same period.'>In the year period of 1971-2020, Cambodia’s averag...</span>","Change in temperature"
"Cambodia","BTR","<span title='Over the 50 years of 1971–2020, Cambodia experienced seasonally varied and significant decreases in precipitation per decade across its central and eastern provinces but significant increases per decade across some western provinces'>Over the 50 years of 1971–2020, Cambodia experienc...</span>","Change in precipitation"
"Cambodia","BTR","<span title='By 2050, or likely earlier, the annual temperature is expected to increase by 1.0 °C under both SSP scenarios. While the projection for RCP4.5 suggests a moderate increase to 2.5°C by 2099, the SSP2-4.5 scenario indicates a dramatic rise of up to 4.5°C by the end of the century'>By 2050, or likely earlier, the annual temperature...</span>","Change in temperature"
"Cambodia","BTR","<span title='The number of days with temperatures exceeding 35°C also increases significantly in both the medium and far future, with more pronounced increases observed under SSP5-8.5 compared to SSP1-2.6'>The number of days with temperatures exceeding 35°...</span>",""
"Cambodia","BTR","<span title='Although there is significant variability in the precipitation projections for Cambodia, most estimates suggest a decrease in mean annual rainfall (0–200 mm) in the near future (2010–2039), particularly along the coastline'>Although there is significant variability in the p...</span>","Change in precipitation"
"Cambodia","BTR","<span title='The initial decrease in rainfall along the coast may exacerbate water scarcity issues, affect agricultural productivity, and increase the vulnerability of coastal communities to drought'>The initial decrease in rainfall along the coast m...</span>","Drought;Change in precipitation"
"Cambodia","BTR","<span title='The projected increase in rainfall by the end of the century, particularly under SSP5-8.5, could lead to heightened flood risks, changes in river flow regimes, and challenges in water management'>The projected increase in rainfall by the end of t...</span>","Flood;Change in precipitation"
"Cambodia","BTR","<span title='These changes in wet season precipitation patterns have significant implications for agriculture, which is heavily dependent on consistent and adequate rainfall. A decrease in precipitation along the coastline could lead to reduced water availability for crops, negatively impacting yields and threatening food security. Conversely, the increase in precipitation in some central regions could benefit agricultural production but may also pose risks of waterlogging and flooding'>These changes in wet season precipitation patterns...</span>","Flood;Change in precipitation"
"Cambodia","BTR","<span title='The agriculture sector is extremely vulnerable to rising temperatures, altered rainfall patterns, and extreme weather events including floods, droughts, cyclones, and rising sea levels in coastal regions'>The agriculture sector is extremely vulnerable to ...</span>","Extreme temperature;Storm;Drought;Flood;Change in temperature;Change in precipitation;Sea level rise"
"Cambodia","BTR","<span title='Farmers are already frequently facing floods and droughts, which lower agricultural yields and threaten food security'>Farmers are already frequently facing floods and d...</span>","Drought;Flood"
"Cambodia","BTR","<span title='Prolonged droughts in 2004 and 2005 affected nearly 30% of agricultural land in Cambodia and caused a 14% decrease in rice yields.'>Prolonged droughts in 2004 and 2005 affected nearl...</span>","Extreme temperature;Drought"
"Cambodia","BTR","<span title='Projections suggest more frequent flooding in and around the Tonle Sap as well as in the floodplain zones of the Mekong, which could increase agricultural losses already estimated at US$100-170 million per year'>Projections suggest more frequent flooding in and ...</span>","Flood"
"Cambodia","BTR","<span title='In the short term, by 2050, the average annual temperature is projected to increase by 2.5°C in the north and around 1.1°C in the south, with little difference between the two scenarios. However, the long-term projections show a significant rise in average annual temperature, ranging from 1.5°C to 3.5°C, with lower increases in the south.'>In the short term, by 2050, the average annual tem...</span>","Change in temperature"
"Cambodia","BTR","<span title='Extreme weather events, storms, droughts, and floods will occur more frequently in many areas of Cambodia'>Extreme weather events, storms, droughts, and floo...</span>","Extreme temperature;Storm;Drought;Flood"
"Cambodia","BTR","<span title='Significant changes in seasonal rainfall patterns are predicted to occur, resulting in prolonged dry seasons and shorter, more severe wet seasons.'>Significant changes in seasonal rainfall patterns ...</span>","Change in precipitation"
"Cambodia","BTR","<span title='In the medium and long terms, higher average temperatures and rates of evapotranspiration are anticipated. A just 1°C rise can result in a 10% decrease in yields'>In the medium and long terms, higher average tempe...</span>","Extreme temperature;Change in temperature"
