"","Country","Document","Element","ElementLabel","ElementText","HazardType","SystemType","Sector","SectorType","IndicatorType_theme","IndicatorType_information","IndicatorType_function","SectorType_GGA","RowID","ActionLevel_GPT","ActionType_GPT","ImpactCategories","ClimateImpact_Keywords","ResultType_GPT","Who","Region","UNFCCC Classification","Year of Submission","Document Language","Support 
received","If yes, from which organization?","Gender and Social Inclusion","If yes, Provide details related to GESI (including consideration of IK/LK, consideration of uniquely vulnerable social groups)","Coded by:","General notes"
"63","Algeria","BTR","System at risk","Impacts and vulnerabilities","The scarcity of food has a direct impact on food security and affects women more, who deprive themselves of food for the benefit of their family, resulting in deficiencies during pregnancy and breastfeeding. ment.",NA,"Food and nutrition;Gender and inclusion","Gender","Crosscutting",NA,NA,NA,"Food and agriculture",4919,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"64","Algeria","BTR","Climate impact","Impacts and vulnerabilities","Drought affects agriculture, which suffers 82% of its impact compared to 18% for all other sectors",NA,NA,"Agriculture and livestock","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",4920,NA,NA,NA,"Drought affects agriculture",NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"65","Algeria","BTR","Climate impact","Impacts and vulnerabilities","Losses in plant and animal production in developing countries were 6.9 trillion kilocalories per year (annual intake of 7,106 adults or 559 calories/day in Africa).",NA,NA,"Agriculture and livestock","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",4921,NA,NA,"Crop production loss","Losses in plant and animal production",NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"66","Algeria","BTR","Climate impact","Impacts and vulnerabilities","Pests and diseases of crops and livestock are a stress factor and cause 9% of losses in plant and animal production.",NA,NA,"Agriculture and livestock","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",4922,NA,NA,"Crop production loss","losses in plant and animal production",NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"67","Algeria","BTR","System at risk","Impacts and vulnerabilities","The adaptation of pathogens to climate change represents a major challenge in terms of management, productivity and sustainability of crops and livestock.",NA,"Crop;Livestock","Animal and plant health","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",4923,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"68","Algeria","BTR","System at risk","Impacts and vulnerabilities","Warming is expected to lead to an expansion of the geographical area, an increase in winter survival, an increase in the number of generations, and finally an increase in the risk of transboundary diseases such as rust in cereals or the movement of insects and/or other disease vectors.",NA,"Health","Animal and plant health","Health, wellbeing and communities",NA,NA,NA,"Health",4924,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"69","Algeria","BTR","Climate impact","Impacts and vulnerabilities","Warming is expected to lead to an expansion of the geographical area, an increase in winter survival, an increase in the number of generations, and finally an increase in the risk of transboundary diseases such as rust in cereals or the movement of insects and/or other disease vectors.",NA,NA,"Animal and plant health","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",4925,NA,NA,"Agricultural pests & diseases","an expansion of the geographical area; an increase in winter survival; an increase in the number of generations; an increase in the risk of transboundary diseases such as rust in cereals or the movement of insects and/or other disease vectors",NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"70","Algeria","BTR","System at risk","Impacts and vulnerabilities","The locust plague is among the risks of natural disasters and is strongly impacted by climatic factors and winds.",NA,NA,"Animal and plant health","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",4926,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"71","Algeria","BTR","Climate impact","Impacts and vulnerabilities","Desert locusts are likely to infest arid areas that receive sudden and extreme rainfall and the number of insects in an outbreak is influenced by meteorological factors. Indeed, these epidemics will be more difficult to prevent and control due to global warming and more frequent extreme weather events due to climate change and could make locust invasions more unpredictable",NA,NA,"Animal and plant health","Food, fiber and other ecosystem products",NA,NA,NA,"Food and agriculture",4927,NA,NA,"Human health burden","Desert locusts are likely to infest arid areas that receive sudden and extreme rainfall""; these epidemics will be more difficult to prevent and control due to global warming and more frequent extreme weather events due to climate change and could make locust invasions more unpredictable",NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"72","Algeria","BTR","Hazard","Impacts and vulnerabilities","Forest fires are classified as a major risk and remain the main cause of the degradation of the national forest heritage, with rates of 2,800 fires recorded on average over the last ten years affecting an average area covered by fire of more than 40,000 ha.","Wildfire",NA,"Forestry","Terrestrial and freshwater ecosystems",NA,NA,NA,"Biodiversity and ecosystems",4928,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"73","Algeria","BTR","System at risk","Impacts and vulnerabilities","Forest fires are classified as a major risk and remain the main cause of the degradation of the national forest heritage, with rates of 2,800 fires recorded on average over the last ten years affecting an average area covered by fire of more than 40,000 ha.",NA,"Forest","Forestry","Terrestrial and freshwater ecosystems",NA,NA,NA,"Biodiversity and ecosystems",4929,NA,NA,NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
"74","Algeria","BTR","Action","Evaluation","Optimization and rehabilitation of irrigation systems",NA,NA,"Water",NA,NA,NA,NA,NA,5050,"Substantive action","Infrastructural/ technological",NA,NA,NA,NA,"Africa","Non-Annex I",2024,"French","No","NA",NA,NA,"Winfred",NA
