"","X.1","X","...1","RowID","Country","Document","Element","ElementLabel","ElementText","HazardType","SystemType","Sector","SectorType","ResultType","Action.level","ActionType","IndicatorType_theme","IndicatorType_information","IndicatorType_function","BarrierType","SectorType_GGA","ClimateImpact_Keywords","ImpactCategories","From_SystemAtRisk","Source_ElementLabel","InterventionType_GPT","ActionType_GPT"
"36",31,31,31,31,"Rwanda","BTR","Climate impact","Temperature increase","Rising temperatures compromise the quality and productivity of highly lucrative, temperature-sensitive tea and coffee (which account for more than 20 per cent of export earnings) as agroecological zones shift to higher elevations with less arable land",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,"Agricultural system shifts",NA,NA,NA,NA
"37",32,32,32,32,"Rwanda","BTR","System at risk","Temperature increase","Rising temperatures compromise the quality and productivity of highly lucrative, temperature-sensitive tea and coffee (which account for more than 20 per cent of export earnings) as agroecological zones shift to higher elevations with less arable land",NA,"Crop;Infrastructure and services","Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,NA,NA,NA,NA,NA
"38",33,33,33,33,"Rwanda","BTR","Climate impact","Temperature increase","Temperature increases are likely to expand production potential through 2050 for maize, Irish potato, cassava, and sorghum",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,"Potential gains",NA,NA,NA,NA
"39",34,34,34,34,"Rwanda","BTR","Hazard","Temperature increase","Temperature increases are likely to expand production potential through 2050 for maize, Irish potato, cassava, and sorghum","Change in temperature",NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,NA,NA,NA,NA,NA
"40",35,35,35,35,"Rwanda","BTR","Hazard","Temperature increase","Bean yields are projected to decrease under a warming climate, especially in the lower elevations of the east and far southwest",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,NA,NA,NA,NA,NA
"41",36,36,36,36,"Rwanda","BTR","Climate impact","Impact","Bean yields are projected to decrease under a warming climate, especially in the lower elevations of the east and far southwest",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,"Crop production loss",NA,NA,NA,NA
"42",37,37,37,37,"Rwanda","BTR","Hazard","Risk","Reduced tea and coffee production due to heat stress and likely shifting in agro-ecological zones","Extreme temperature",NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,NA,NA,NA,NA,NA
"43",38,38,38,38,"Rwanda","BTR","System at risk","Impact","Bean yields are projected to decrease under a warming climate, especially in the lower elevations of the east and far southwest",NA,"Crop","Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,NA,NA,NA,NA,NA
"44",39,39,39,39,"Rwanda","BTR","Climate impact","Impact","Reduced tea and coffee production due to heat stress and likely shifting in agro-ecological zones",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,"Agricultural system shifts",NA,NA,NA,NA
"45",40,40,40,40,"Rwanda","BTR","System at risk","Risk","Increased pest and disease incidence in crops and livestock",NA,"Crop;Livestock;Health","Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,NA,NA,NA,NA,NA
"46",41,41,41,41,"Rwanda","BTR","Climate impact","Impact","Increased pest and disease incidence in crops and livestock",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,"Agricultural pests & diseases",NA,NA,NA,NA
"47",42,42,42,42,"Rwanda","BTR","System at risk","Changing precipitation patterns","Damage to crops, roads, and agricultural infrastructure; degraded agricultural lands; and loss of livestock from heavy rainfall, flooding, landslides, and soil erosion",NA,"Crop;Livestock;Terrestrial;Infrastructure and services","Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,NA,NA,NA,NA,NA
"48",43,43,43,43,"Rwanda","BTR","Climate impact","Impact","Warming temperatures are also likely to expand the range of crop pests, such as the coffee berry borer beetle, and livestock diseases, such as Rift Valley fever. Projections of longer dry spells are particularly concerning in the east and south, where approximately 44,000 households suffered crop and livestock losses in the 2016 drought. As 90 per cent of crops are grown on steep slopes, increased heavy rainfall events will exacerbate soil erosion and further degrade cultivated lands.",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,"Livestock impacts; Soil erosion & land degradation; Agricultural pests & diseases",NA,NA,NA,NA
"49",44,44,44,44,"Rwanda","BTR","Hazard","Risk","Warming temperatures are also likely to expand the range of crop pests, such as the coffee berry borer beetle, and livestock diseases, such as Rift Valley fever.","Change in temperature;Pest and disease",NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,NA,NA,NA,NA,NA
"50",45,45,45,45,"Rwanda","BTR","Climate impact","Impact","Shift in production zones for key crops",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,"Agricultural system shifts",NA,NA,NA,NA
"51",46,46,46,46,"Rwanda","BTR","Climate impact","Impact","Crop loss/land degration and soil erosion",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,"Crop production loss; Soil erosion & land degradation",NA,NA,NA,NA
"52",47,47,47,47,"Rwanda","BTR","Hazard",NA,"Projections of longer dry spells are particularly concerning in the east and south, where approximately 44,000 households suffered crop and livestock losses in the 2016 drought.","Drought",NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,NA,NA,NA,NA,NA
"53",48,48,48,48,"Rwanda","BTR","Climate impact",NA,"Projections of longer dry spells are particularly concerning in the east and south, where approximately 44,000 households suffered crop and livestock losses in the 2016 drought.",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,"Livestock impacts",NA,NA,NA,NA
"54",49,49,49,49,"Rwanda","BTR","Hazard","Heavy precipitation","As 90 per cent of crops are grown on steep slopes, increased heavy rainfall events will exacerbate soil erosion and further degrade cultivated lands.","Storm;Change in precipitation;Land degradation",NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,NA,NA,NA,NA,NA
"55",50,50,50,50,"Rwanda","BTR","Climate impact","Heavy precipitation","As 90 per cent of crops are grown on steep slopes, increased heavy rainfall events will exacerbate soil erosion and further degrade cultivated lands.",NA,NA,"Agriculture","Food, fiber and other ecosystem products",NA,NA,NA,NA,NA,NA,NA,"Food and agriculture",NA,"Soil erosion & land degradation",NA,NA,NA,NA
"56",51,51,51,51,"Rwanda","BTR","Climate impact","Temperature increase","Warmer surface water temperatures accelerate bacterial growth and diminish water quality",NA,NA,"Water resources",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Water quality deterioration",NA,NA,NA,NA
"57",52,52,52,52,"Rwanda","BTR","Hazard","Temperature increase","Warmer surface water temperatures accelerate bacterial growth and diminish water quality","Extreme temperature;Sea temperature",NA,"Water resources",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",53,53,53,53,"Rwanda","BTR","Hazard","Heavy precipitation","Increased flooding from heavy rainfall events threatens water infrastructure and quality","Storm;Flood;Change in precipitation",NA,"Water resources",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",54,54,54,54,"Rwanda","BTR","Climate impact","Heavy precipitation","Increased flooding from heavy rainfall events threatens water infrastructure and quality",NA,NA,"Water resources",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Water quality deterioration",NA,NA,NA,NA
"60",55,55,55,55,"Rwanda","BTR","Climate impact","Impact","Reduced water quality",NA,NA,"Water resources",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Water availability shortfall; Water quality deterioration",NA,NA,NA,NA
"61",56,56,56,56,"Rwanda","BTR","Climate impact","Impact","Increased flooding and sedimentation",NA,NA,"Water resources",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Water quality deterioration",NA,NA,NA,NA
"62",57,57,57,57,"Rwanda","BTR","Hazard","Impact","Water shortage during longer dry spells","Drought",NA,"Water resources",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",58,58,58,58,"Rwanda","BTR","Climate impact","Impact","Water shortage during longer dry spells",NA,NA,"Water resources",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Water availability shortfall",NA,NA,NA,NA
"64",59,59,59,59,"Rwanda","BTR","Climate impact","Risk","Expanded area and duration of transmission of vector-borne diseases, e.g., malaria",NA,NA,"Human health","Health, wellbeing and communities",NA,NA,NA,NA,NA,NA,NA,"Health",NA,"Human health burden",NA,NA,NA,NA
"65",60,60,60,60,"Rwanda","BTR","Hazard",NA,"Flooding leads to increased drowning, displacement, and diarrheal and other waterborne disease","Flood;Pest and disease",NA,"Human health","Health, wellbeing and communities",NA,NA,NA,NA,NA,NA,NA,"Health",NA,NA,NA,NA,NA,NA
"66",61,61,61,61,"Rwanda","BTR","Climate impact","Risk","Flooding leads to increased drowning, displacement, and diarrheal and other waterborne disease",NA,NA,"Human health","Health, wellbeing and communities",NA,NA,NA,NA,NA,NA,NA,"Health",NA,"Mortality & injury; Displacement & migration",NA,NA,NA,NA
"67",62,62,62,62,"Rwanda","BTR","System at risk","Risk","Reduced and shifted ranges for native species leading to biodiversity loss",NA,"Biodiversity","Ecosystems","Terrestrial and freshwater ecosystems",NA,NA,NA,NA,NA,NA,NA,"Biodiversity and ecosystems",NA,NA,NA,NA,NA,NA
"68",63,63,63,63,"Rwanda","BTR","Climate impact","Impact","Reduced and shifted ranges for native species leading to biodiversity loss",NA,NA,"Ecosystems","Terrestrial and freshwater ecosystems",NA,NA,NA,NA,NA,NA,NA,"Biodiversity and ecosystems",NA,"Ecosystem degradation & biodiversity loss",NA,NA,NA,NA
"69",64,64,64,64,"Rwanda","BTR","Climate impact","Risk","Increased physiological stress and disruption of wildlife and plant relationships",NA,NA,"Ecosystems","Terrestrial and freshwater ecosystems",NA,NA,NA,NA,NA,NA,NA,"Biodiversity and ecosystems",NA,"Ecosystem degradation & biodiversity loss",NA,NA,NA,NA
"70",65,65,65,65,"Rwanda","BTR","Climate impact","Risk","Increased wildfire severity",NA,NA,"Ecosystems","Terrestrial and freshwater ecosystems",NA,NA,NA,NA,NA,NA,NA,"Biodiversity and ecosystems",NA,NA,NA,NA,NA,NA
"71",66,66,66,66,"Rwanda","BTR","Hazard","Risk","Habitat degradation from heavy rainfall events, particularly following longer dry spells","Storm;Drought;Change in precipitation",NA,"Ecosystems","Terrestrial and freshwater ecosystems",NA,NA,NA,NA,NA,NA,NA,"Biodiversity and ecosystems",NA,NA,NA,NA,NA,NA
"72",67,67,67,67,"Rwanda","BTR","Climate impact","Risk","Habitat degradation from heavy rainfall events, particularly following longer dry spells",NA,NA,"Ecosystems","Terrestrial and freshwater ecosystems",NA,NA,NA,NA,NA,NA,NA,"Biodiversity and ecosystems",NA,"Ecosystem degradation & biodiversity loss",NA,NA,NA,NA
"73",68,68,68,68,"Rwanda","BTR","Climate impact","Impact","Decreased tourism revenue as wildlife and habitats are impacted",NA,NA,"Ecosystems","Terrestrial and freshwater ecosystems",NA,NA,NA,NA,NA,NA,NA,"Biodiversity and ecosystems",NA,"Tourism & recreation impacts; Ecosystem degradation & biodiversity loss",NA,NA,NA,NA
"74",69,69,69,69,"Rwanda","BTR","Climate impact","Impact","Increased damage to reservoir from siltation",NA,NA,"Energy","Cities, settlements and key infrastructure",NA,NA,NA,NA,NA,NA,NA,"Infrastructure and human settlements",NA,"Water quality deterioration",NA,NA,NA,NA
"75",70,70,70,70,"Rwanda","BTR","Climate impact","Impact","Reduced hydropower production",NA,NA,"Energy","Cities, settlements and key infrastructure",NA,NA,NA,NA,NA,NA,NA,"Infrastructure and human settlements",NA,"Energy system impacts",NA,NA,NA,NA
"76",71,71,71,71,"Rwanda","BTR","Action",NA,"Investments in climate-resilient agriculture and sustainable practices",NA,NA,NA,NA,NA,"Substantive","EbA/NbS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"economic","institutional"
"77",72,72,72,72,"Rwanda","BTR","Action",NA,"Incorporation of climate adaptation and resilience in the National Strategy for Transformation (NST2, 2024–2029), the updated Green Growth and Climate Resilience Strategy (GGCRS, first 


adopted in 2011 and revised in 2021), the National Environment and Climate Change Policy (NECCP, 2019), and the updated Nationally Determined Contribution",NA,NA,NA,NA,NA,"Substantive","Institutional",NA,NA,NA,NA,NA,NA,NA,NA,NA,"government policies and programs","institutional"
"78",73,73,73,73,"Rwanda","BTR","Action",NA,"In 2023, GIZ in partnership with MoE initiated a new template ‘’ Rwanda NDC Finance Flow’ to track the information on financial flows for mitigation and adaptation initiative in Rwanda. The tool allows for tracking “climate specific” finance support mobilized, received against needed support through the GoR, bilateral or 


multilateral channels",NA,NA,NA,NA,NA,"Groundwork","Infrastructural/technological",NA,NA,NA,NA,NA,NA,NA,NA,NA,"economic","institutional"
"79",74,74,74,74,"Rwanda","BTR","Action",NA,"Rwanda has made a deliberate and strategic effort to integrate gender considerations into its climate change adaptation and environmental management actions. This commitment is reflected in key national policies and initiatives aimed at fostering inclusive, equitable, and sustainable development",NA,NA,"Gender & social inclusion","Livelihoods, poverty and sustainable development",NA,"Substantive","Institutional",NA,NA,NA,NA,"Poverty eradication and livelihoods",NA,NA,NA,NA,"government policies and programs","institutional"
